Tier,Category,Group Name,Facebook URL,Geography,Primary Audience,Approx Members,Privacy,Activity Level,Why Relevant,Self-Promo Allowed,Admin / Dealer-Run,Source Batch,URL Type,final_tier,recommended_action,pitch_angle,recommended_template,recommended_keyword,audience_archetype,red_flag,research_batch
1,Ag Pilot / Mentorship,"Rookie, I Want To Be An Ag Pilot",https://www.facebook.com/groups/1692670457427288,USA,Aerial applicators + drone crossover,"~19,100",unknown,very active,"Flagship aerial application mentorship community (founder George J. Parker III, Crop Jet Aviation)",restricted,no,"B2, B4",Group,B,Join+Lurk,Respectful drones-vs-planes; where each wins,T2 reg decode,TANK,Operators,Manned ag aviation audience; tread carefully,1
1,Cover Crop / Seeding,Cover Crop Drone Seeding Group (Everything Cover Crops),https://www.facebook.com/groups/154480008227557/,USA,Cover crop drone seeders,unknown,unknown,very active,Recurring active threads on drone cover crop seeding rates and coverage,unknown,unknown,"B1, B3, B5",Group,A,Join+Post,Drone seeding into standing corn at $20/acre + seed,"T3 photo story, T4 farmer-ask",TANK,Farmer-operator,Agronomy-first crowd; do not turn into drone sales pitch,1
1,Spray Drone Operator,AG Spray Drones of North America,https://www.facebook.com/groups/djiagspraydrones/,North America,Ag spray drone operators,unknown,unknown,very active,"Community of the largest US spray drone distributor (Agri Spray Drones, 41 states, 4.6M+ acres sprayed)",restricted,Agri Spray Drones (Taylor Moreland),B1,Group,B,Lurk+Comment,Build comment karma before posting; dealer-controlled,"T2 reg decode, T7 honest gear take",REG,Operators,DEALER-RUN by Agri Spray Drones; link-hostile,1
1,Spray Drone Operator,Ag spray drone marketplace (verify name),https://www.facebook.com/groups/988387895114510/,USA,Spray drone buyers,unknown,unknown,active,Spray drone marketplace including Hylio and DJI gear,unknown,unknown,"B1, B2",Group,B,Join+Post (ISO/listings only),"Used-drone listing entry, ISO posts, price-check angles","ISO post, real used-drone listing",GEAR,Operators,Commerce-focused; pure discussion posts may be pulled,1
1,Spray Drone Operator,Ag spray drone pilots (verify name),https://www.facebook.com/groups/1116970269570506/,USA,Aspiring + active drone pilots,unknown,unknown,active,Aspiring and active spray drone pilots,unknown,unknown,"B1, B2, B6",Group,A,Join+Post,"Rates per acre, getting customers, Part 137 timelines","T1 rate question, T3 photo story",RATES,Operators,Build comment karma first; rate arguments get heated,1
1,Spray Drone Operator,Ag spray drone sales (verify name),https://www.facebook.com/groups/2022321434667768/,USA,Agras buyers,unknown,unknown,active,DJI Agras sales and discussion (overlaps with LATAM group),unknown,unknown,B1,Group,B,Join+Post (ISO/listings only),"Used-drone listing entry, ISO posts, price-check angles","ISO post, real used-drone listing",GEAR,Operators,Commerce-focused; pure discussion posts may be pulled,1
1,Spray Drone Operator,Agricultural Drone spraying Services,https://www.facebook.com/groups/1127655231828647/,Global,Drone spray service operators,unknown,unknown,moderate,Operators marketing spray services,unknown,unknown,"B1, B2",Group,A,Join+Post,"Rates per acre, getting customers, Part 137 timelines","T1 rate question, T3 photo story",RATES,Operators,Build comment karma first; rate arguments get heated,1
1,Spray Drone Operator,Agricultural Drones USA,https://www.facebook.com/groups/465243785416021/,National,Ag drone operators,unknown,Public,unknown,Core US ag drone audience,unknown,No,B6,Group,A,Join+Post,"Rates per acre, getting customers, Part 137 timelines","T1 rate question, T3 photo story",RATES,Operators,Build comment karma first; rate arguments get heated,1
1,Spray Drone Operator,Agricultural Spraying Drone,https://www.facebook.com/groups/2208620866086166/,Global,Ag spray drone users,unknown,unknown,active,General spray drone operator community,unknown,unknown,"B1, B3, B4, B5",Group,A,Join+Post,"Rates per acre, getting customers, Part 137 timelines","T1 rate question, T3 photo story",RATES,Operators,Build comment karma first; rate arguments get heated,1
1,Spray Drone Operator,Agricultural spray drones for sale,https://www.facebook.com/groups/173140343057635/,Global,Ag spray drone buyers,unknown,unknown,active,Buy/sell hub for spray drones,unknown,unknown,B1,Group,B,Join+Post (ISO/listings only),"Used-drone listing entry, ISO posts, price-check angles","ISO post, real used-drone listing",GEAR,Operators,Commerce-focused; pure discussion posts may be pulled,1
1,Spray Drone Operator,Agriculture Drone Sprayer,https://www.facebook.com/groups/659505744731791/,Global,Ag spray drone operators,unknown,unknown,moderate,Spray drone owners and buyers,unknown,unknown,"B1, B6",Group,A,Join+Post,"Rates per acre, getting customers, Part 137 timelines","T1 rate question, T3 photo story",RATES,Operators,Build comment karma first; rate arguments get heated,1
1,Spray Drone Operator,Custom Drone Sprayer Network,https://www.facebook.com/groups/2060165710665312/,USA,Custom drone sprayers,unknown,unknown,moderate,For-hire drone spray discussion,unknown,unknown,"B1, B2, B5",Group,A,Join+Post,"Rates per acre, getting customers, Part 137 timelines","T1 rate question, T3 photo story",RATES,Operators,Build comment karma first; rate arguments get heated,1
1,Spray Drone Operator,DJI Agras Latinoamerica MG-1P T10 T16 T20 T30,https://www.facebook.com/groups/2022321434667768/,Latin America,Agras operators (Spanish),unknown,unknown,active,Spanish-language Agras community including South American operators,unknown,unknown,"B1, B3",Group,C,Skip,,,,,Spanish-language; US newsletter mismatch,1
1,Spray Drone Operator,DJI Agras MG (Agras MG Owners),https://www.facebook.com/groups/agrasmg/,Global,DJI Agras MG owners,unknown,unknown,unknown,"Agras MG owner group, troubleshooting and parts",unknown,unknown,"B3, B5",Group,A,Join+Post,Keep older Agras flying; parts and repair anxiety post-FCC list,"T2 reg decode, T7 honest gear take",DJI,Operators,Older equipment owners; do not push upgrade,1
1,Spray Drone Operator,DJI Agras agricultural spraying drones for sale USA,https://www.facebook.com/groups/841895960466233/,USA,Agras owner-operators,unknown,unknown,unknown,US Agras sale listings reach owner-operators,unknown,no,"B3, B5",Group,B,Join+Post (ISO/listings only),"Used-drone listing entry, ISO posts, price-check angles","ISO post, real used-drone listing",GEAR,Operators,Commerce-focused; pure discussion posts may be pulled,1
1,Spray Drone Operator,Drones Used For Crop Application,https://www.facebook.com/groups/241634282627903/,USA,Crop application drone users,unknown,unknown,unknown,Crop application drone use,unknown,unknown,B5,Group,A,Join+Post,"Rates per acre, getting customers, Part 137 timelines","T1 rate question, T3 photo story",RATES,Operators,Build comment karma first; rate arguments get heated,1
1,Spray Drone Operator,Drones for Spraying Seeding Mosquito Control Crop,https://www.facebook.com/groups/123803228100698/,USA,Drone application operators,unknown,unknown,unknown,"Spray, seed, and mosquito application use cases",unknown,unknown,B5,Group,A,Join+Post,"Rates per acre, getting customers, Part 137 timelines","T1 rate question, T3 photo story",RATES,Operators,Build comment karma first; rate arguments get heated,1
1,Spray Drone Operator,Farm & Heavy Equipment For Sale (spray drones listed),https://www.facebook.com/groups/196337540534478/,USA,Spray drone buyers,unknown,unknown,active,Spray drone marketplace including Hylio units,unknown,unknown,"B1, B2",Group,B,Join+Post (ISO/listings only),"Used-drone listing entry, ISO posts, price-check angles","ISO post, real used-drone listing",GEAR,Operators,Commerce-focused; pure discussion posts may be pulled,1
1,Spray Drone Operator,Spray Drones of America / Affordable DJI Agras,https://www.facebook.com/groups/3080483255595962/,USA,Spray drone operators,unknown,unknown,active,"Active Agras owner marketplace, exactly your buyer",unknown,unknown,"B1, B3, B5",Group,A,Join+Post,"Rates per acre, getting customers, Part 137 timelines","T1 rate question, T3 photo story",RATES,Operators,Build comment karma first; rate arguments get heated,1
1,Spray Drone Operator,Used DJI Agras T50 T40 T30 T25 T20 Agriculture Drones,https://www.facebook.com/groups/1416919085825439/,Global,Agras owner-operators,unknown,Public,active,"Buy/sell marketplace for active Agras owners, high purchase intent",likely yes,no,"B1, B2, B3, B4",Group,A,Join+Post,"Rates per acre, getting customers, Part 137 timelines","T1 rate question, T3 photo story",RATES,Operators,Build comment karma first; rate arguments get heated,1
1,Spray Drone Operator,XAG Agriculture Drones - North America,https://www.facebook.com/groups/xag.ag/,North America,XAG platform users,unknown,unknown,active,"XAG owners across US and Canada, Hylio crossover threads",unknown,likely dealer-run,"B1, B2, B3, B5",Group,B,Lurk+Comment,Help-only troubleshooting; never push DJI in XAG house,T2 reg decode,TANK,Operators,BRAND-CONTROLLED; troubleshooting comments only,1
1,Spray Drone Operator,XAG Spray Drones - USA,https://www.facebook.com/groups/xag.spray.drones.info.usa/,USA,XAG drone operators,unknown,likely Private,active,Dedicated US XAG operator troubleshooting community,restricted,likely dealer-run,"B1, B2, B3, B4, B5",Group,B,Lurk+Comment,Help-only troubleshooting; never push DJI in XAG house,T2 reg decode,TANK,Operators,BRAND-CONTROLLED; troubleshooting comments only,1
2,Drone Adjacent,Commercial Drone Mapping and Surveying,https://www.facebook.com/groups/dronemappingandsurveying/,Global,Mapping/survey pilots,unknown,Public,unknown,Mapping pilots overlap with ag scouting,unknown,No,B6,Group,B,Join+Post,Diversify into ag spray for better margins than mapping,T2 reg decode,TANK,Drone-curious,Mapping purists may not care about spray,1
2,Drone Adjacent,Commercial Drone Pilots,https://www.facebook.com/groups/commercialdronepilot/,National,Commercial drone pilots,unknown,Public,unknown,Part 107 pilots diversifying into ag,unknown,No,B6,Group,B,Join+Lurk,DJI ban content has crossover; otherwise low fit,T8 DJI ban,DJI,Drone-curious,,1
2,Drone Adjacent,Commercial Drone Pilots UK,https://www.facebook.com/groups/commercialdronepilots/,UK,Commercial drone pilots,unknown,Public,unknown,Commercial pilots adjacent to ag,unknown,No,B6,Group,C,Skip,,,,,UK; geographic mismatch,1
2,Drone Adjacent,DJI Phantom Owners Page (DJIGuys),https://www.facebook.com/groups/DJIGuys/,Global,DJI Phantom + Mavic owners,unknown,unknown,unknown,Crossover camera drone owners who later add Agras,unknown,no,B5,Group,B,Join+Lurk,DJI ban content has crossover; otherwise low fit,T8 DJI ban,DJI,Drone-curious,,1
